Name,plateifu,MANGAID,objra,objdec,Type,TType,Unsure,Bars,Edge_on,Tidal,C,E_C,A,E_A,S,E_S,cas_flag
manga-10514-1901 ,10514-1901 ,1-77742  ,143.690715268,3.09643639786,SB0a       ,0,0,0.75,0,1,4.023,0.42,0.102,0.004,0.12,0.068,1
manga-10514-1902 ,10514-1902 ,1-55065  ,145.65237,2.5711,S0         ,-2,0,0.0,0,1,2.062,0.213,0.94,0.015,0.82,0.1085,0
manga-10514-3701 ,10514-3701 ,1-54979  ,144.169753026,2.70357082064,Sc         ,5,0,0.0,1,0,2.845,0.257,0.173,0.018,0.57,0.402,1
manga-10514-3702 ,10514-3702 ,1-77755  ,143.734945063,3.25527333962,E          ,-5,0,0.0,0,0,3.533,0.359,0.056,0.009,-0.01,0.037,1
manga-10514-3703 ,10514-3703 ,1-77708  ,144.54517272,3.07892141209,SABa       ,1,0,0.5,0,0,3.302,0.283,0.115,0.014,-0.01,0.065,1
manga-10514-3704 ,10514-3704 ,1-55075  ,145.657043911,2.09254870044,E          ,-5,0,0.0,0,0,3.602,0.398,0.093,0.009,0.15,0.1245,1
manga-10514-6101 ,10514-6101 ,1-54999  ,143.999404537,2.46283299157,Sa         ,1,0,0.0,0,0,3.743,0.329,0.211,0.01,0.25,0.179,1
manga-10514-6102 ,10514-6102 ,1-55037  ,145.163894791,2.48990023939,S0         ,-2,0,0.0,0,1,3.949,0.271,0.23,0.017,-0.01,0.059,1
manga-10514-6103 ,10514-6103 ,1-78040  ,145.470851736,2.96887156738,Sb         ,3,0,0.0,0,0,2.867,0.302,0.083,0.007,0.06,0.0995,1
manga-10514-6104 ,10514-6104 ,1-78021  ,145.782003228,3.43005485524,S0         ,-2,0,0.0,0,1,4.172,0.266,0.136,0.007,0.06,0.0765,1
manga-10514-9101 ,10514-9101 ,1-78077  ,144.489626451,3.46291469133,Sb         ,3,1,0.0,1,0,2.933,0.181,0.156,0.019,0.4,0.3145,1
manga-10514-9102 ,10514-9102 ,1-585668 ,145.151611328,3.57702112198,S-merger   ,11,0,0.0,0,1,5.179,0.204,0.162,0.004,0.05,0.0385,0
manga-10515-12701,10515-12701,1-78358  ,147.630692086,4.2105830266,Sbc        ,4,0,0.0,0,1,3.075,0.226,0.177,0.022,-0.6,0.3635,0
manga-10515-12702,10515-12702,1-78381  ,148.002980984,4.15077036024,Sa         ,1,0,0.0,0,0,3.837,0.15,0.056,0.011,0.1,0.1045,1
manga-10515-12703,10515-12703,1-182226 ,148.907297616,5.46304830801,E          ,-5,0,0.0,0,1,4.552,0.22,0.15,0.025,0.05,0.1235,1
manga-10515-12704,10515-12704,1-78377  ,148.034450541,4.25231711354,Sc         ,5,0,0.0,0,0,2.886,0.117,0.188,0.035,0.45,0.475,1
manga-10515-12705,10515-12705,1-78252  ,148.209994818,3.5990648666,Sd         ,7,0,0.0,1,0,3.419,0.211,0.163,0.042,1.17,0.645,0
manga-10515-1901 ,10515-1901 ,1-181880 ,147.325419485,5.56595651099,SABd       ,7,1,0.5,0,0,2.585,0.312,0.35,0.007,0.19,0.174,1
manga-10515-1902 ,10515-1902 ,1-78291  ,147.361095245,4.00315975513,SABa       ,1,0,0.5,0,0,3.229,0.361,0.062,0.002,0.13,0.068,1
manga-10515-3701 ,10515-3701 ,1-78343  ,147.253068894,4.30316933692,Sc         ,5,0,0.0,0,1,2.603,0.213,0.193,0.01,0.13,0.159,1
manga-10515-3702 ,10515-3702 ,1-181975 ,147.512787176,6.17520520052,E          ,-5,0,0.0,0,1,3.15,0.414,0.065,0.003,0.14,0.1,1
manga-10515-3703 ,10515-3703 ,1-585742 ,147.492434513,5.52012829688,Sd         ,7,0,0.0,1,0,3.093,0.13,0.056,0.079,-2.21,1.4775,0
manga-10515-3704 ,10515-3704 ,1-78353  ,147.646179593,4.77311761979,SB0a       ,0,0,0.75,0,0,3.932,0.169,0.059,0.006,0.11,0.1075,1
manga-10515-6101 ,10515-6101 ,1-78257  ,147.947455457,3.56530918454,E          ,-5,0,0.0,0,0,2.444,0.703,0.125,1.603,0.29,0.1205,1
manga-10515-6102 ,10515-6102 ,1-560087 ,147.402764159,4.11628565631,S0         ,-2,0,0.0,0,1,3.481,0.261,0.438,0.534,0.15,0.146,0
manga-10515-6103 ,10515-6103 ,1-181988 ,147.79742386,6.08197351691,S0         ,-2,0,0.0,0,0,3.544,0.338,0.04,0.007,0.02,0.055,1
manga-10515-6104 ,10515-6104 ,1-606491 ,149.297875445,5.20136465374,SB0a       ,0,0,0.75,0,0,4.371,0.303,0.081,0.007,0.21,0.111,1
