plateifu,Predicted_Class,Actual_Class,Type
12081_12704,S,S,Sbc        
10224_6103,S,S,SABc       
8247_12704,S,S,SABbc      
9509_6103,S,S,SABbc      
8610_6103,S,S,SABbc      
8616_9102,S,S,Scd        
9501_12701,S,S,Sbc        
9892_12704,S,S,Sb         
9188_9101,S,S,SABc       
9094_6104,S,S,Sb         
8987_12702,S,S,SBd        
11949_9102,S,S,SABb       
10843_9102,S,S,Sbc        
9508_6104,S,S,SABab      
9193_1902,E,E,E          
9191_12701,S,S,SBab       
8716_3701,S,S,SABb       
10500_3702,S,S,SABab      
9002_3703,E,E,Edc        
10495_3702,S,S,Sc         
9893_6104,S,S,SABbc      
8337_3703,S,S,Sc         
12080_6102,S,S,Sa         
8331_9101,E,E,Edc        
9869_9101,S,S,Sab        
10843_9101,S,S,Sb         
11007_6101,S,E,Edc        
12685_6104,E,E,Edc        
8252_1901,E,E,Edc        
9041_1902,S,S,Sb         
7815_12702,S,S,SABbc      
10492_3704,S,S,SABab      
9194_3701,E,E,Edc        
11747_3703,S,S,Sbc        
12651_3701,S,S,SABb       
8623_12703,S,S,SABb       
10520_3701,S,S,Sbc        
8657_3701,E,S,SABab      
10511_3701,S,S,Sc         
11958_12702,S,S,Sab        
8618_12701,S,S,Sd         
11024_12704,S,S,SABa       
8935_6102,S,E,Edc        
10500_3703,S,S,SABab      
11948_12702,S,S,Sbc        
11866_1902,S,S,SABc       
8983_1902,E,E,Edc        
8598_1901,S,S,SABc       
11834_6104,S,S,Sbc        
8083_1901,E,S,Sb         
8140_6102,S,S,Sab        
11753_6101,E,E,Edc        
11754_9102,S,S,Sa         
8936_1902,S,S,Sa         
8330_12704,S,S,Sc         
9894_12704,S,S,SABc       
8097_9101,E,E,E          
8481_1901,E,E,Edc        
9036_3704,E,E,Edc        
11745_12705,S,S,SBb        
12079_6104,E,E,E          
10518_12703,S,S,Sbc        
8595_12703,S,S,Sc         
10216_12703,S,S,SABbc      
8326_12703,S,S,SABc       
9875_9102,E,E,E          
9887_3703,S,S,SABb       
11962_3701,E,S,SABa       
8239_3703,E,E,E          
12090_9101,S,S,Sbc        
8144_3702,S,E,Edc        
9487_9101,S,S,SBab       
11867_3703,E,S,SABa       
11983_6101,E,E,Edc        
8258_12704,S,S,SBab       
8465_12705,S,S,SBb        
7981_9101,S,S,Sbc        
8550_6101,E,E,Edc        
9494_12701,S,S,Sc         
8331_3701,E,E,E          
8946_6103,S,S,SBc        
10520_3704,E,S,SABa       
8456_9102,S,S,Sbc        
8326_12702,S,S,Sbc        
8249_6101,S,S,SBb        
8613_12703,S,S,S-merger   
9871_6103,S,S,Sb         
8551_12701,S,S,SABbc      
8566_3701,S,S,Sa         
10846_12703,E,E,E          
8654_12704,S,S,SBbc       
12089_6101,S,S,SABab      
8711_12705,S,S,Sc         
10516_3704,S,S,Sab        
8082_12702,S,S,SABab      
8481_6101,E,E,E          
8158_12705,S,S,Scd        
11760_1902,E,E,Edc        
9049_9101,S,S,Sb         
8609_12703,S,S,SBab       
8652_12702,S,S,SABb       
9192_12701,S,S,SABbc      
8722_12702,E,S,SBab       
12511_6102,E,E,E          
8439_6103,S,S,Sb         
9048_12703,S,S,Sc         
8464_12702,S,S,Sbc        
11865_1901,S,S,SABab      
8484_9102,E,E,E          
9027_12702,S,S,Scd        
8453_6102,S,S,SBdm       
8253_3702,S,S,Sab        
10492_12703,S,S,Sab        
8335_6104,S,S,SABab      
7957_6104,S,S,SBc        
8312_12704,S,S,SBab       
9890_6102,S,S,Sab        
8328_3702,E,E,E          
8334_12701,S,S,Sc         
11830_9102,S,S,SABab      
10494_3701,S,S,Sb         
11955_3703,S,S,Sd         
8710_3704,S,S,SABa       
8562_6102,S,S,Sab        
11947_12704,S,S,SABa       
8312_3704,E,S,SBab       
12682_3701,E,E,Edc        
9893_6102,S,S,Sab        
11019_3704,S,E,E          
10496_12702,S,S,SABb       
10839_3704,S,S,Sb         
11979_12705,S,S,SBb        
12685_12702,S,S,Sbc        
8982_12703,S,S,SBd        
11940_9102,S,S,Sbc        
7990_12702,S,S,Sc         
9194_12705,S,S,Scd        
10222_1901,S,E,E          
9869_12703,S,S,Sab        
9191_12702,S,S,SABbc      
9001_12703,E,E,E          
8939_12702,S,S,Sa         
8997_12703,S,S,Sc         
9042_12701,S,S,Scd        
8591_6101,E,E,Edc        
8952_9101,S,S,Sa         
8601_3702,S,S,SBa        
9486_12703,S,S,Sbc        
9024_12701,S,S,Sb         
9870_12702,S,S,SBm        
12485_12703,S,S,SBab       
11982_12701,S,S,Sc         
8623_3702,S,S,Sa         
8933_6104,E,E,E          
8549_12701,S,S,SBab       
11976_3703,S,S,SBb        
11016_9102,S,S,Sbc        
7964_6102,S,S,SBcd       
8977_9102,S,S,SABab      
8616_6102,S,S,SABcd      
8566_1902,S,S,SBa        
8652_12703,S,S,SABc       
11831_12702,S,S,SBb        
11965_6103,S,S,Sb         
12081_6102,S,S,SABc       
7975_12702,E,E,E          
12518_6104,E,E,E          
8146_6103,S,S,SABc       
11747_12704,E,E,E          
12518_6103,S,S,SABb       
9510_6103,S,S,SBcd       
9032_12702,S,S,SBa        
8335_12702,S,S,SABc       
12087_6104,S,S,Sab        
11751_3704,S,E,Edc        
9034_3703,S,S,Sa         
8252_12701,S,S,SBm        
12079_3701,S,S,SABcd      
8442_6102,S,S,Scd        
11747_1902,E,E,E          
9032_12701,S,S,SBab       
8158_12704,E,E,Edc        
8932_3703,S,S,Sb         
9868_1901,E,E,E          
8604_12705,E,S,Sab        
10516_12704,S,S,SABc       
11944_9102,E,E,E          
12673_3702,S,S,SABab      
8241_6104,E,E,Edc        
11746_12702,S,S,SABc       
8250_9102,S,S,Sa         
9867_6101,S,S,SABb       
11863_6103,E,S,SABa       
12071_1902,S,S,Sa         
11871_12703,S,S,SBbc       
8466_9102,S,S,Scd        
9094_1902,S,S,Sm         
8654_6102,S,S,SABab      
9498_3704,E,E,Edc        
8465_12702,S,S,Sc         
11744_6104,E,E,E          
11952_9101,S,E,Edc        
8329_12701,S,S,Sc         
8565_1902,S,E,Edc        
8610_1902,E,E,Edc        
8256_12705,E,E,Edc        
10519_3702,E,S,Sa         
