plateifu,avg_emline_sflux_cen_oiii_5008,avg_emline_sflux_cen_hb_4862,avg_emline_sflux_cen_nii_6585,avg_emline_sflux_cen_ha_6564,avg_emline_sew_peak_ha_6564,avg_objdec,avg_emline_sflux_cen_oiid_3728,avg_emline_sflux_cen_hb_48621,avg_emline_sflux_cen_oiii_4960,avg_emline_sflux_cen_oiii_50081,avg_emline_sflux_cen_nii_6549,avg_emline_sflux_cen_ha_65641,avg_emline_sflux_cen_nii_65851
9038-3701,100.2006664,72.90670204,41.78937817,252.1852875,19.48491383,42.02972031,235.1875,72.90670204,28.2883234,100.2006664,16.82460308,252.1852875,41.78937817
9038-3702,99.20845604,258.8072777,367.3421402,997.1173248,94.01908112,42.30863571,419.394043,258.8072777,35.83504868,99.20845604,127.3676624,997.1173248,367.3421402
9038-3703,8.55677104,8.810285985,7.254312754,11.14218175,0.845954493,42.63876724,3.110510886,8.810285985,4.318615556,8.55677104,0.270217329,11.14218175,7.254312754
9038-3704,24.58440399,23.74438095,8.319349607,3.531257709,1.482513666,42.07831955,6.02660052,23.74438095,-3.117768844,24.58440399,6.765822252,3.531257709,8.319349607
9038-6101,24.01438403,13.80498871,9.22840333,14.90573478,1.158614114,41.57833099,4.38463366,13.80498871,-10.1201756,24.01438403,13.76544696,14.90573478,9.22840333
9038-6102,11.52881813,9.954250798,7.05150032,16.63967514,4.877655745,41.95046234,2.878180429,9.954250798,-5.114810765,11.52881813,4.171748638,16.63967514,7.05150032
9038-6103,33.7941068,16.1786178,6.662662665,49.98577499,8.489604632,41.55498886,59.71159871,16.1786178,10.93856208,33.7941068,2.580385685,49.98577499,6.662662665
9038-6104,7.205994964,26.56382561,34.39549541,91.89169312,7.527029753,41.84682465,49.7091732,26.56382561,1.870564938,7.205994964,10.3670578,91.89169312,34.39549541
9038-9101,81.9887867,36.36939621,12.32057261,120.1998577,31.13509274,43.23373032,120.9891148,36.36939621,26.96840572,81.9887867,4.086272717,120.1998577,12.32057261
9038-9102,28.29391479,30.05397987,23.20413208,112.4549408,8.15328002,42.61981964,67.23124695,30.05397987,10.05663848,28.29391479,8.605254173,112.4549408,23.20413208
9039-12701,10.65566051,12.50499827,2.39209199,6.820807487,0.628562286,31.9422493,2.300094843,12.50499827,-0.953214258,10.65566051,4.082122713,6.820807487,2.39209199
9039-12702,23.23541594,8.869493246,-3.744942844,22.25717831,1.302634895,33.36452103,55.35674095,8.869493246,9.319681644,23.23541594,7.811220765,22.25717831,-3.744942844
9039-12703,7.736939788,3.139259398,13.97965693,7.631665468,0.683017567,34.72955704,1.587887973,3.139259398,0.592479687,7.736939788,4.93869561,7.631665468,13.97965693
9039-12704,6.084696651,7.877422571,23.46069145,19.21431208,3.260313928,33.43252182,14.75794578,7.877422571,0.459038401,6.084696651,8.956523418,19.21431208,23.46069145
9039-12705,4.797693253,3.335610092,2.491217971,4.408031285,0.768260926,32.52661896,-0.749534287,3.335610092,-0.268713772,4.797693253,1.058168091,4.408031285,2.491217971
9039-1901,0.862989046,4.549573809,1.926433697,3.197110429,0.804462597,34.24981308,2.632171273,4.549573809,-1.001001909,0.862989046,1.42084229,3.197110429,1.926433697
9039-1902,75.08290863,46.57125282,183.1102524,136.3224545,9.229436398,33.51506424,172.4333382,46.57125282,21.35779047,75.08290863,60.58016109,136.3224545,183.1102524
9039-3701,5.218857447,6.983068307,1.098611196,4.003490527,0.528404633,32.24393463,3.954672654,6.983068307,-1.762314359,5.218857447,1.104744554,4.003490527,1.098611196
9039-3702,2.517203093,7.188346386,0.69397376,3.796243827,0.687757492,34.53009033,0.931122243,7.188346386,-3.041012605,2.517203093,4.989198367,3.796243827,0.69397376
9039-3703,22.09471083,9.85066247,26.29612827,18.22259378,1.108713046,33.36536407,31.02986813,9.85066247,4.603864908,22.09471083,6.629516959,18.22259378,26.29612827
9039-3704,31.43031645,14.1388551,39.61328506,28.2395401,1.899260372,33.24007416,54.83564854,14.1388551,7.332370281,31.43031645,15.86675906,28.2395401,39.61328506
9039-6101,13.42868837,11.81063302,23.77878698,5.246156534,0.713407179,32.00893402,7.720054468,11.81063302,-0.496780713,13.42868837,7.795702934,5.246156534,23.77878698
9039-6102,28.9034338,34.32386923,104.2421188,143.4963264,9.189681768,32.85961914,68.24888802,34.32386923,2.6657722,28.9034338,37.65931892,143.4963264,104.2421188
9039-6103,18.89635134,13.25662956,35.48847818,41.43704414,2.659545124,33.38480377,17.32670474,13.25662956,-2.506453335,18.89635134,15.73591399,41.43704414,35.48847818
9039-6104,21.27005959,8.133397222,36.28154373,20.88183928,1.402345359,34.65613556,18.65127611,8.133397222,2.831388414,21.27005959,14.89190221,20.88183928,36.28154373
9039-9101,36.37346935,75.74202919,197.99189,327.075737,79.80778885,34.35684967,101.436718,75.74202919,1.175718725,36.37346935,70.89309502,327.075737,197.99189
9039-9102,22.22797489,10.75920808,0.919871509,16.24042213,5.447969198,33.1485939,5.532325745,10.75920808,-3.96703136,22.22797489,9.598620534,16.24042213,0.919871509
9041-12702,18.50855875,37.75205326,74.73218346,149.6788788,16.45583272,30.14740562,37.72614002,37.75205326,2.586337686,18.50855875,26.91467142,149.6788788,74.73218346
9041-12703,29.41934347,10.90498447,45.64962196,56.43557835,12.02833104,30.67128944,26.63247871,10.90498447,10.88381124,29.41934347,15.99367023,56.43557835,45.64962196
9041-3702,19.61175871,97.8124733,140.9114685,401.4645844,21.97310877,30.20244789,76.99788475,97.8124733,3.540884674,19.61175871,43.51664925,401.4645844,140.9114685
9041-3703,17.43047309,13.93171895,12.60274792,23.40489721,2.552031577,30.2669754,3.511372656,13.93171895,-1.979468942,17.43047309,14.93014628,23.40489721,12.60274792
9041-6101,31.68106937,11.71463811,63.98014164,40.9953413,2.512154281,30.17773819,44.74723339,11.71463811,4.012343645,31.68106937,22.17355299,40.9953413,63.98014164
