plateifu,avg_emline_sflux_cen_oiii_5008,avg_emline_sflux_cen_hb_4862,avg_emline_sflux_cen_nii_6585,avg_emline_sflux_cen_ha_6564,avg_emline_sew_peak_ha_6564,Classification
11013-6102,114.5538502,75.81417084,44.57618427,228.0517769,68.93374252,SFG
11013-6103,11.01308584,11.91641927,10.53969646,47.86024857,3.169283032,Unclassified
11013-6104,33.09855843,22.48053074,72.61561012,84.84273529,5.356483936,Unclassified
11013-9101,8.165424824,18.66796684,32.6975708,62.12600517,3.822655916,Unclassified
11013-9102,51.43550777,85.55976677,86.68678474,299.5159149,25.50685406,SFG
11016-12701,27.60560989,27.3824029,21.42139816,98.89955711,5.68764782,Unclassified
11016-12702,14.61199546,7.671268404,17.61864233,16.11227345,2.038120329,Passive
11016-12703,28.54569721,12.39806408,49.37645435,32.40605879,2.057266861,Passive
11016-12704,3.422308624,8.328604221,8.990191698,21.56775379,3.648590684,Unclassified
11016-12705,3.04653581,-1.259182413,2.491191308,3.321506262,0.366854191,Passive
11016-1901,48.33303642,31.35173798,141.6171494,100.9993629,5.387488008,Unclassified
11016-1902,20.3567338,8.590052158,34.82319212,16.07166219,2.408132136,Passive
11016-3701,6.845892429,15.82651806,0.097164422,2.329766512,0.640795708,Passive
11016-3702,8.515763998,15.23182535,15.05001831,49.03839779,3.511031032,Unclassified
11016-3703,19.50205374,4.529984504,33.3742137,25.93906641,1.533955216,Passive
11016-3704,1.66888694,0.349298507,1.141021689,1.081664244,0.309035634,Passive
11016-6101,32.69164133,16.50506997,106.1471443,68.5535202,4.152689993,Unclassified
11016-6102,13.70599699,13.43905616,38.40555763,27.34698009,1.657298297,Passive
11016-6103,3.71405371,5.698702494,4.865849972,2.846884569,0.28553473,Passive
11016-6104,18.99048328,10.09281373,22.15118027,21.63036633,1.427449018,Passive
11016-9101,11.47012997,31.42052078,62.1244297,150.2106705,8.421699524,SFG
11016-9102,16.16293097,70.62540054,92.98216248,244.1357346,13.69329643,SFG
11017-12701,307.6560211,74.05324364,340.0057449,306.3580551,19.72706366,AGN
11017-12702,5.175888538,8.289419532,-1.068494409,3.818185821,0.450802885,Passive
11017-12703,6.179304123,24.22858858,34.01909637,94.52277946,17.36330032,SFG
11017-12704,25.93217325,23.93535757,48.98176003,75.85339165,13.37128735,SFG
11017-12705,10.61570024,43.00681782,57.11372185,159.91819,10.16014194,SFG
11017-1901,22.50330973,10.80706024,16.26180577,38.62353039,2.508201659,Passive
11017-1902,26.29044724,12.57172483,39.92206669,25.5185976,1.598294318,Passive
11017-3701,12.83664417,8.64937973,8.255185604,12.86681402,0.944798172,Passive
11017-3702,14.20736146,4.495448798,9.055194139,6.188177407,0.468698591,Passive
11017-3703,8.138938904,9.179049174,2.894333839,5.31997935,0.523451726,Passive
11017-3704,243.5749359,110.7230587,148.9004364,471.5206375,29.00527048,SFG
